Node1,Node2
P06400,P29374
P06400,P21675
P06400,Q14186
P06400,Q00534
P06400,Q13547
P06400,Q01094
P06400,Q16254
P06400,P17947
P06400,Q99708
P06400,P43686
P06400,Q9Y676
P06400,P17542
P06400,Q00987
P06400,P06748
P06400,Q9UKV8
P20226,P09086
P20226,P21675
P20226,Q15544
P20226,Q15543
P20226,Q16514
P20226,P14859
P20226,P05412
P20226,P01100
P20226,Q00403
P20226,Q01094
P20226,P17947
P20226,Q12962
P22681,P46108
P22681,Q12965
P22681,P15498
P22681,P62993
P22681,P27986
P22681,P07948
P22681,P68036
P22681,P00533
P22681,P43403
P22681,P62837
P46108,Q13905
P46108,P00519
P46108,P49023
P46108,Q14185
P27986,P06213
P27986,P08069
P27986,P35568
P27986,P10827
P27986,P03372
P27986,Q12959
P06213,P35568
P06213,P29353
P31946,P04049
P31946,Q99759
P31946,P46937
P31946,P62258
P31946,P61981
P31946,P27348
P04049,P01112
P04049,P63104
P04049,Q02750
P04049,P15056
P04049,P01116
P04049,Q8IVT5
Q08999,P15172
Q08999,Q13547
Q08999,Q99708
Q08999,Q16254
P15172,P15923
Q08945,P17947
P25490,Q09472
P25490,Q00403
P25490,P08047
P25490,P01106
P25490,Q15545
Q09472,P04637
Q09472,P03372
Q09472,Q16665
Q09472,Q06945
Q09472,Q00987
Q09472,P35637
Q09472,Q92804
Q09472,Q01844
Q92793,Q9Y265
Q92793,P04637
Q92793,Q13469
Q92793,Q06945
Q92793,P62805
Q92793,O00327
P15923,P09874
P15923,P19338
P15923,P17542
P15923,O00268
P15884,P35222
P00519,Q13315
P00519,Q03135
P00519,P46109
Q13315,P15927
Q13315,P54274
Q13315,P16104
Q13315,Q15554
Q13315,Q5XUX0
Q13315,P46531
Q13315,O60934
P10415,Q9C000
P10415,Q14457
P10415,Q14643
P10415,P21796
Q15628,P19438
Q15628,Q13158
Q15628,Q13546
Q15628,Q12933
Q15628,P01375
P19438,Q13546
P19438,Q13158
P19438,P01375
P19438,P01374
P19438,Q12931
P19438,P63000
P29466,Q9C000
P09874,P04637
P09874,Q01094
P09874,P68431
P09874,P28482
P09874,P27361
Q00987,P04637
Q00987,Q9UER7
Q00987,P31749
Q00987,Q8N726
Q00987,Q93009
Q00987,P49757
P04637,Q16594
P04637,P49848
P04637,P63279
P04637,P09429
P04637,Q15648
P04637,P38398
P04637,P51587
P04637,Q12888
P04637,P06493
P04637,Q8N726
P04637,P27694
P04637,Q8WTS6
P04637,Q93009
P04637,P63165
P04637,Q9UER7
P04637,Q07817
P04637,P08047
P04637,O14980
P04637,Q05086
P04637,Q13155
P04637,O14920
P04637,Q06945
P04637,Q9Y297
P04637,P07900
P04637,Q9NPI1
P04637,Q96EB6
P04637,Q8N163
P04637,Q9NRR4
P04637,O60341
P04637,Q92769
P04637,P49757
P04637,Q8NEZ4
P04637,Q6ZW49
P04637,Q15291
P04637,P61964
P04637,Q9UBL3
P04637,Q14686
P04637,O15379
P04637,Q96J02
P04637,Q06330
P04637,P15036
P42345,P62942
P42345,Q6R327
